User ID,Subscription Type,Monthly Revenue,Join Date,Join Month,Last Logging Date,Last Logging Month,Active / Inactive,Country,Age,Age Group,Gender
1,Basic,10,1/15/2022,Jan,10/6/2023,Oct,Active,United States,28,25-30,Male
4,Standard,12,10/7/2022,Oct,6/26/2023,Jun,Inactive,Australia,51,50-55,Female
6,Premium,15,3/18/2022,Mar,6/27/2023,Jun,Inactive,France,29,25-30,Female
9,Standard,12,10/20/2022,Oct,6/23/2023,Jun,Inactive,Spain,37,35-40,Male
11,Basic,10,5/16/2022,May,6/22/2023,Jun,Inactive,United States,31,30-35,Female
14,Basic,10,1/8/2022,Jan,6/26/2023,Jun,Inactive,Australia,27,25-30,Male
16,Premium,15,7/4/2022,Jul,6/27/2023,Jun,Inactive,France,36,35-40,Male
17,Basic,10,1/24/2022,Jan,6/25/2023,Jun,Inactive,Brazil,30,25-30,Female
22,Basic,10,7/22/2022,Jul,6/28/2023,Jun,Inactive,Canada,34,30-35,Male
24,Standard,12,3/4/2022,Mar,6/26/2023,Jun,Inactive,Australia,31,30-35,Male
26,Premium,15,12/1/2022,Dec,6/27/2023,Jun,Inactive,France,29,25-30,Male
27,Basic,10,8/29/2022,Aug,6/25/2023,Jun,Inactive,Brazil,47,45-50,Female
29,Premium,15,12/19/2022,Dec,6/23/2023,Jun,Inactive,Spain,36,35-40,Female
32,Basic,10,7/7/2022,Jul,6/28/2023,Jun,Inactive,Canada,37,35-40,Male
33,Standard,12,1/21/2022,Jan,6/27/2023,Jun,Inactive,United Kingdom,41,40-45,Female
34,Standard,12,5/25/2022,May,6/26/2023,Jun,Inactive,Australia,29,25-30,Male
36,Premium,15,1/3/2022,Jan,6/27/2023,Jun,Inactive,France,35,30-35,Male
37,Basic,10,9/14/2022,Sep,6/25/2023,Jun,Inactive,Brazil,45,40-45,Female
39,Premium,15,12/28/2022,Dec,6/23/2023,Jun,Inactive,Spain,27,25-30,Female
42,Basic,10,6/15/2022,Jun,6/28/2023,Jun,Inactive,Canada,40,35-40,Male
43,Standard,12,7/2/2022,Jul,6/27/2023,Jun,Inactive,United Kingdom,36,35-40,Female
44,Standard,12,4/26/2022,Apr,6/26/2023,Jun,Inactive,Australia,29,25-30,Male
46,Premium,15,2/23/2022,Feb,6/27/2023,Jun,Inactive,France,34,30-35,Male
47,Basic,10,5/10/2022,May,6/25/2023,Jun,Inactive,Brazil,39,35-40,Female
49,Premium,15,10/11/2022,Oct,6/23/2023,Jun,Inactive,Spain,28,25-30,Female
52,Basic,10,8/29/2022,Aug,6/28/2023,Jun,Inactive,Canada,37,35-40,Male
53,Standard,12,1/13/2022,Jan,6/27/2023,Jun,Inactive,United Kingdom,41,40-45,Female
54,Standard,12,6/30/2022,Jun,6/26/2023,Jun,Inactive,Australia,29,25-30,Male
56,Premium,15,3/15/2022,Mar,6/27/2023,Jun,Inactive,France,36,35-40,Male
57,Basic,10,1/10/2022,Jan,6/25/2023,Jun,Inactive,Brazil,46,45-50,Female
59,Premium,15,3/12/2022,Mar,6/23/2023,Jun,Inactive,Spain,27,25-30,Female
62,Basic,10,3/8/2022,Mar,6/28/2023,Jun,Inactive,Canada,37,35-40,Male
63,Standard,12,2/23/2022,Feb,6/27/2023,Jun,Inactive,United Kingdom,41,40-45,Female
64,Standard,12,6/20/2022,Jun,6/26/2023,Jun,Inactive,Australia,29,25-30,Male
66,Premium,15,1/30/2022,Jan,6/27/2023,Jun,Inactive,France,29,25-30,Male
67,Basic,10,9/18/2022,Sep,6/25/2023,Jun,Inactive,Brazil,47,45-50,Female
69,Premium,15,12/23/2022,Dec,6/23/2023,Jun,Inactive,Spain,36,35-40,Female
71,Basic,10,1/26/2022,Jan,6/20/2023,Jun,Inactive,United States,27,25-30,Male
72,Basic,10,11/10/2022,Nov,6/22/2023,Jun,Inactive,Canada,31,30-35,Female
73,Standard,12,9/27/2022,Sep,6/26/2023,Jun,Inactive,United Kingdom,28,25-30,Female
74,Premium,13,12/14/2022,Dec,6/25/2023,Jun,Inactive,Australia,41,40-45,Female
75,Basic,13,5/28/2022,May,6/26/2023,Jun,Inactive,Germany,28,25-30,Female
77,Premium,15,12/25/2022,Dec,6/23/2023,Jun,Inactive,Brazil,45,40-45,Female
78,Standard,15,11/18/2022,Nov,6/28/2023,Jun,Inactive,Mexico,49,45-50,Male
79,Standard,15,3/12/2022,Mar,6/25/2023,Jun,Inactive,Spain,43,40-45,Female
80,Basic,12,8/11/2022,Aug,6/22/2023,Jun,Inactive,Italy,43,40-45,Male
82,Standard,12,7/12/2022,Jul,6/28/2023,Jun,Inactive,Canada,35,30-35,Male
83,Basic,10,10/20/2022,Oct,6/26/2023,Jun,Inactive,United Kingdom,46,45-50,Female
86,Basic,11,4/3/2022,Apr,6/25/2023,Jun,Inactive,France,29,25-30,Female
88,Standard,12,9/27/2022,Sep,6/28/2023,Jun,Inactive,Mexico,47,45-50,Male
89,Basic,15,10/20/2022,Oct,6/26/2023,Jun,Inactive,Spain,39,35-40,Male
91,Premium,11,3/10/2022,Mar,6/23/2023,Jun,Inactive,United States,39,35-40,Male
92,Basic,14,5/1/2022,May,6/28/2023,Jun,Inactive,Canada,39,35-40,Male
93,Standard,12,5/2/2022,May,6/26/2023,Jun,Inactive,United Kingdom,35,30-35,Male
94,Premium,12,3/19/2022,Mar,6/25/2023,Jun,Inactive,Australia,44,40-45,Male
95,Basic,11,2/28/2022,Feb,6/25/2023,Jun,Inactive,Germany,34,30-35,Male
96,Premium,14,7/26/2022,Jul,6/24/2023,Jun,Inactive,France,32,30-35,Male
97,Basic,10,5/3/2022,May,6/24/2023,Jun,Inactive,Brazil,29,25-30,Female
98,Standard,13,7/3/2022,Jul,6/28/2023,Jun,Inactive,Mexico,31,30-35,Female
101,Premium,11,10/17/2022,Oct,6/24/2023,Jun,Inactive,United States,46,45-50,Female
102,Basic,12,3/29/2022,Mar,6/28/2023,Jun,Inactive,Canada,31,30-35,Male
103,Standard,13,4/4/2022,Apr,6/26/2023,Jun,Inactive,United Kingdom,36,35-40,Male
104,Premium,10,8/6/2022,Aug,6/25/2023,Jun,Inactive,Australia,38,35-40,Male
105,Basic,11,4/3/2022,Apr,6/27/2023,Jun,Inactive,Germany,46,45-50,Female
106,Premium,10,3/18/2022,Mar,6/24/2023,Jun,Inactive,France,49,45-50,Female
107,Basic,14,7/3/2022,Jul,6/24/2023,Jun,Inactive,Brazil,29,25-30,Female
108,Standard,12,5/24/2022,May,6/25/2023,Jun,Inactive,Mexico,27,25-30,Female
111,Premium,14,7/14/2022,Jul,6/27/2023,Jun,Inactive,United States,40,35-40,Male
112,Basic,10,1/6/2022,Jan,6/28/2023,Jun,Inactive,Canada,33,30-35,Female
113,Standard,15,7/5/2022,Jul,6/26/2023,Jun,Inactive,United Kingdom,37,35-40,Male
114,Premium,10,11/18/2022,Nov,6/25/2023,Jun,Inactive,Australia,48,45-50,Male
115,Basic,11,5/4/2022,May,6/25/2023,Jun,Inactive,Germany,50,45-50,Female
116,Premium,14,5/19/2022,May,6/23/2023,Jun,Inactive,France,45,40-45,Female
118,Standard,12,7/8/2022,Jul,6/27/2023,Jun,Inactive,Mexico,33,30-35,Male
119,Standard,11,9/20/2022,Sep,6/25/2023,Jun,Inactive,Spain,44,40-45,Female
120,Basic,10,10/18/2022,Oct,6/25/2023,Jun,Inactive,Italy,30,25-30,Female
121,Premium,15,3/10/2022,Mar,6/24/2023,Jun,Inactive,United States,27,25-30,Male
122,Basic,11,3/5/2022,Mar,6/28/2023,Jun,Inactive,Canada,51,50-55,Male
123,Standard,13,5/25/2022,May,6/26/2023,Jun,Inactive,United Kingdom,49,45-50,Female
124,Premium,15,5/11/2022,May,6/25/2023,Jun,Inactive,Australia,43,40-45,Male
125,Basic,12,8/21/2022,Aug,6/24/2023,Jun,Inactive,Germany,42,40-45,Male
126,Premium,13,9/21/2022,Sep,6/23/2023,Jun,Inactive,France,45,40-45,Male
128,Standard,12,6/10/2022,Jun,6/27/2023,Jun,Inactive,Mexico,48,45-50,Male
129,Standard,13,5/11/2022,May,6/23/2023,Jun,Inactive,Spain,38,35-40,Male
131,Premium,15,6/10/2022,Jun,6/23/2023,Jun,Inactive,United States,47,45-50,Male
132,Basic,15,6/24/2022,Jun,6/28/2023,Jun,Inactive,Canada,48,45-50,Female
133,Standard,13,6/24/2022,Jun,6/26/2023,Jun,Inactive,United Kingdom,47,45-50,Male
134,Premium,15,5/11/2022,May,6/25/2023,Jun,Inactive,Australia,32,30-35,Male
135,Basic,13,7/18/2022,Jul,6/26/2023,Jun,Inactive,Germany,47,45-50,Female
136,Premium,12,9/13/2022,Sep,6/26/2023,Jun,Inactive,France,41,40-45,Female
137,Basic,12,10/8/2022,Oct,6/22/2023,Jun,Inactive,Brazil,49,45-50,Male
138,Standard,15,9/21/2022,Sep,6/23/2023,Jun,Inactive,Mexico,28,25-30,Male
140,Basic,12,2/5/2022,Feb,6/23/2023,Jun,Inactive,Italy,43,40-45,Female
141,Premium,12,11/5/2022,Nov,6/27/2023,Jun,Inactive,United States,42,40-45,Male
142,Basic,14,10/6/2022,Oct,6/22/2023,Jun,Inactive,Canada,28,25-30,Male
143,Standard,14,8/31/2022,Aug,6/24/2023,Jun,Inactive,United Kingdom,30,25-30,Female
144,Premium,10,8/17/2022,Aug,6/26/2023,Jun,Inactive,Australia,33,30-35,Male
145,Basic,11,5/5/2022,May,6/26/2023,Jun,Inactive,Germany,35,30-35,Female
146,Basic,10,6/10/2022,Jun,6/25/2023,Jun,Inactive,France,38,35-40,Male
147,Basic,12,8/11/2022,Aug,6/24/2023,Jun,Inactive,Brazil,49,45-50,Female
148,Standard,15,11/27/2022,Nov,6/28/2023,Jun,Inactive,Mexico,39,35-40,Female
149,Premium,13,11/17/2022,Nov,6/27/2023,Jun,Inactive,Spain,46,45-50,Female
150,Basic,10,12/15/2022,Dec,6/23/2023,Jun,Inactive,Italy,47,45-50,Female
151,Basic,15,12/12/2022,Dec,6/25/2023,Jun,Inactive,United States,30,25-30,Female
152,Premium,14,11/23/2022,Nov,6/27/2023,Jun,Inactive,Canada,33,30-35,Female
153,Standard,11,12/25/2022,Dec,6/24/2023,Jun,Inactive,United Kingdom,47,45-50,Male
155,Basic,14,11/18/2022,Nov,6/27/2023,Jun,Inactive,Germany,28,25-30,Male
156,Premium,15,8/19/2022,Aug,6/25/2023,Jun,Inactive,France,47,45-50,Male
157,Standard,14,9/27/2022,Sep,6/24/2023,Jun,Inactive,Brazil,30,25-30,Male
